timestamp,e_distance,e_theta,v,w
1722328174.641168391,0.967352,-0.540986,0.3,0.0188436
1722328174.669612889,0.95844,-0.540962,0.3,0.0389685
1722328174.698244525,0.950153,-0.541068,0.3,0.03595
1722328174.726992139,0.941704,-0.541243,0.3,0.0510295
1722328174.755342851,0.933263,-0.54129,0.3,0.065408
1722328174.784293506,0.925126,-0.541794,0.3,0.0731795
1722328174.814978053,0.916546,-0.543527,0.3,0.0595146
1722328174.844743004,0.907213,-0.546367,0.3,0.0502533
1722328174.873361292,0.898484,-0.548505,0.3,0.0395474
1722328174.900915877,0.889753,-0.55024,0.3,0.0294779
1722328174.929275850,0.881636,-0.551445,0.3,0.0161642
1722328174.957710161,0.872943,-0.552265,0.3,0.0172566
1722328174.985380411,0.864562,-0.552479,0.3,0.0198038
1722328175.13870099,0.856178,-0.552673,0.3,0.015655
1722328175.45654832,0.847793,-0.552989,0.3,0.0180381
1722328175.74428879,0.838213,-0.553223,0.3,0.0280833
1722328175.101944305,0.829531,-0.553545,0.3,0.014093
1722328175.130294764,0.821135,-0.554342,0.3,0.00237046
1722328175.158648493,0.812757,-0.55466,0.3,0.000150786
1722328175.186139476,0.804387,-0.554608,0.3,-0.00383892
1722328175.214576429,0.796022,-0.554548,0.3,-0.0070831
1722328175.243198053,0.787654,-0.554422,0.3,-0.00803812
1722328175.271474604,0.778989,-0.554272,0.3,-0.0137559
1722328175.301019223,0.770613,-0.554126,0.3,-0.0237932
1722328175.330502310,0.761648,-0.553669,0.3,-0.0137737
1722328175.360194213,0.75299,-0.552817,0.3,-0.017852
1722328175.389855730,0.744063,-0.552375,0.3,-0.0258376
1722328175.418433578,0.735548,-0.552378,0.3,-0.0405621
1722328175.447928622,0.72707,-0.552286,0.3,-0.0457998
1722328175.477185715,0.718276,-0.551881,0.3,-0.0535764
1722328175.506531702,0.709592,-0.550984,0.3,-0.0653484
1722328175.534912406,0.700665,-0.550327,0.3,-0.0790383
1722328175.566575371,0.691884,-0.55017,0.3,-0.0838847
